epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.142055,0.153272,0.896171,0.949600,0,0,100,11524,00:13
1,0.117414,0.122543,0.909105,0.956800,0,0,0,11100,00:12
2,0.099036,0.103202,0.923676,0.960480,0,0,0,11100,00:12
3,0.081750,0.103012,0.924609,0.961120,0,0,0,11100,00:12
4,0.070523,0.102947,0.928076,0.961600,0,0,0,11100,00:12
5,0.059001,0.094698,0.931200,0.967360,0,0,0,11100,00:12
6,0.054422,0.089833,0.936705,0.968800,0,0,0,11100,00:12
7,0.047893,0.103975,0.932210,0.964960,0,0,0,11100,00:12
8,0.041824,0.099031,0.936133,0.968000,0,0,0,11100,00:12
9,0.037046,0.097228,0.941105,0.968960,0,0,0,11100,00:12
10,0.035460,0.099555,0.936171,0.969440,0,0,0,11100,00:12
11,0.032630,0.093387,0.938838,0.970880,0,0,0,11100,00:12
12,0.031663,0.103374,0.936876,0.969440,0,0,0,11100,00:12
13,0.031644,0.098066,0.937200,0.970400,0,0,0,11100,00:12
14,0.029982,0.098724,0.937238,0.970240,0,0,0,11100,00:12
