epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.110731,0.143228,0.911333,0.958880,0,0,202,12144,00:16
1,0.101087,0.119959,0.922743,0.962080,0,0,0,11564,00:15
2,0.084286,0.101340,0.927243,0.965440,0,0,0,11564,00:15
3,0.074237,0.086914,0.938443,0.966880,0,0,0,11564,00:15
4,0.063162,0.084415,0.941543,0.967200,0,0,0,11564,00:15
5,0.055005,0.081655,0.943143,0.969120,0,0,0,11564,00:15
6,0.051622,0.077671,0.946038,0.969280,0,0,0,11564,00:15
7,0.044969,0.074870,0.947905,0.973120,0,0,0,11564,00:15
8,0.042335,0.072529,0.948838,0.973600,0,0,0,11564,00:15
9,0.038798,0.072724,0.949371,0.974560,0,0,0,11564,00:15
10,0.035597,0.072329,0.950705,0.974560,0,0,0,11564,00:15
11,0.033823,0.073974,0.947105,0.974080,0,0,0,11564,00:15
12,0.034465,0.073242,0.950038,0.974880,0,0,0,11564,00:15
13,0.033122,0.074623,0.948438,0.974240,0,0,0,11564,00:15
14,0.034280,0.073598,0.950172,0.974720,0,0,0,11564,00:15
