epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.150062,0.159077,0.872419,0.933280,0,0,66,9954,00:12
1,0.134679,0.135028,0.893543,0.943360,0,0,66,7466,00:11
2,0.120092,0.122610,0.903771,0.949280,0,0,-68,7470,00:11
3,0.109541,0.123184,0.910857,0.950560,0,0,2,7530,00:11
4,0.100457,0.138161,0.900743,0.950080,0,0,66,7466,00:11
5,0.090101,0.101313,0.922686,0.961120,0,0,-68,7470,00:11
6,0.081878,0.104187,0.918381,0.958560,0,0,2,7530,00:11
7,0.075088,0.100776,0.921886,0.961280,0,0,66,7466,00:11
8,0.069406,0.094133,0.927638,0.963360,0,0,-68,7470,00:11
9,0.064624,0.098195,0.924800,0.961120,0,0,2,7530,00:11
10,0.058841,0.095616,0.927200,0.962080,0,0,66,7466,00:11
11,0.055779,0.097367,0.928114,0.963360,0,0,-68,7470,00:11
12,0.053237,0.092922,0.931372,0.965920,0,0,2,7530,00:11
13,0.050926,0.093405,0.930190,0.965280,0,0,66,7466,00:11
14,0.050250,0.092711,0.932743,0.965120,0,0,-68,7470,00:11
