epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.048619,0.092484,0.931981,0.964800,0,0,3506,4206,00:14
1,0.047458,0.093250,0.931410,0.964000,0,0,0,7558,00:14
2,0.046541,0.093470,0.930686,0.965440,0,0,0,7558,00:14
3,0.050731,0.092926,0.931010,0.964640,0,0,0,7558,00:14
4,0.050587,0.092812,0.930838,0.964320,0,0,0,7558,00:14
5,0.049310,0.094363,0.932876,0.964800,0,0,0,7558,00:14
6,0.047553,0.094020,0.931943,0.965440,0,0,0,7558,00:14
7,0.047698,0.092518,0.931276,0.965440,0,0,0,7558,00:14
8,0.049180,0.091120,0.933276,0.965760,0,0,0,7558,00:14
9,0.047615,0.091525,0.930038,0.965600,0,0,0,7558,00:14
10,0.049160,0.095390,0.929809,0.964800,0,0,0,7558,00:14
11,0.048665,0.093947,0.931505,0.964800,0,0,0,7558,00:14
12,0.048378,0.092474,0.931010,0.964800,0,0,0,7558,00:14
13,0.047335,0.093368,0.933048,0.965280,0,0,0,7558,00:14
14,0.049424,0.093148,0.930476,0.964960,0,0,0,7558,00:14
