epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.153102,0.159726,0.884914,0.940160,0,0,148,11704,00:18
1,0.132089,0.127290,0.902019,0.950720,0,0,2,11722,00:17
2,0.115282,0.109764,0.919295,0.957280,0,0,0,11724,00:17
3,0.096975,0.106063,0.920552,0.957920,0,0,0,11724,00:17
4,0.083902,0.096219,0.927409,0.964960,0,0,0,11724,00:16
5,0.073826,0.092328,0.926476,0.964800,0,0,0,11724,00:17
6,0.064158,0.094348,0.928705,0.965440,0,0,0,11724,00:16
7,0.060759,0.099989,0.926705,0.964480,0,0,0,11724,00:17
8,0.057719,0.093081,0.930514,0.967040,0,0,0,11724,00:16
9,0.053950,0.096454,0.931543,0.966560,0,0,0,11724,00:17
10,0.049017,0.088633,0.934876,0.967520,0,0,0,11724,00:16
11,0.044398,0.091791,0.933410,0.968800,0,0,0,11724,00:17
12,0.045005,0.092732,0.933771,0.968320,0,0,0,11724,00:16
13,0.043346,0.090673,0.934343,0.968480,0,0,0,11724,00:17
14,0.043892,0.093421,0.933200,0.967520,0,0,0,11724,00:16
