epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.139527,0.172069,0.871752,0.939200,0,0,128,3274,00:09
1,0.135253,0.146605,0.887300,0.944480,0,0,0,2840,00:09
2,0.124343,0.129777,0.900691,0.947520,0,0,0,2840,00:09
3,0.115197,0.119299,0.911557,0.951840,0,0,0,2840,00:09
4,0.103629,0.112926,0.914695,0.954080,0,0,0,2840,00:09
5,0.092642,0.108910,0.915029,0.954720,0,0,0,2840,00:09
6,0.081905,0.112050,0.910762,0.954400,0,0,0,2840,00:09
7,0.076934,0.103841,0.919505,0.959840,0,0,0,2840,00:09
8,0.073479,0.103066,0.921867,0.958240,0,0,0,2840,00:09
9,0.069541,0.102041,0.922381,0.960480,0,0,0,2840,00:09
10,0.065878,0.103847,0.921619,0.958400,0,0,0,2840,00:09
11,0.064958,0.102999,0.919409,0.958560,0,0,0,2840,00:09
12,0.064498,0.103088,0.920438,0.958080,0,0,0,2840,00:09
13,0.063511,0.102282,0.922648,0.959680,0,0,0,2840,00:09
14,0.063549,0.103875,0.922038,0.958400,0,0,0,2840,00:09
