epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.059010,0.097026,0.930724,0.961120,0,0,3648,4010,00:13
1,0.056427,0.095502,0.932133,0.961280,0,0,0,7548,00:13
2,0.057299,0.096227,0.930610,0.962080,0,0,0,7548,00:13
3,0.057533,0.096453,0.933162,0.961440,0,0,0,7548,00:13
4,0.058231,0.097817,0.928800,0.960960,0,0,0,7548,00:13
5,0.057960,0.098358,0.928724,0.961280,0,0,0,7548,00:13
6,0.056717,0.095708,0.931219,0.961440,0,0,0,7548,00:13
7,0.058521,0.098614,0.928686,0.960960,0,0,0,7548,00:13
8,0.058873,0.096976,0.931791,0.961440,0,0,0,7548,00:13
9,0.058438,0.096590,0.932514,0.961600,0,0,0,7548,00:13
