epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.103761,0.198384,0.892971,0.952160,0,0,2154,7014,00:40
1,0.100103,0.194430,0.895276,0.951520,0,0,0,9152,00:40
2,0.105307,0.196251,0.892267,0.951680,0,0,0,9152,00:40
3,0.099940,0.205249,0.890476,0.948480,0,0,0,9152,00:40
4,0.106071,0.196525,0.893276,0.951040,0,0,0,9152,00:40
5,0.106380,0.198316,0.890571,0.951040,0,0,0,9152,00:40
6,0.100459,0.201089,0.891638,0.951360,0,0,0,9152,00:40
7,0.105076,0.190629,0.899143,0.952960,0,0,0,9152,00:40
8,0.097136,0.187777,0.900038,0.952800,0,0,0,9152,00:40
9,0.097586,0.192804,0.896667,0.953600,0,0,0,9152,00:40
10,0.101612,0.191708,0.896609,0.953600,0,0,0,9152,00:40
11,0.089997,0.187114,0.902272,0.952800,0,0,0,9152,00:40
12,0.101088,0.187370,0.895314,0.953280,0,0,0,9152,00:40
13,0.099834,0.190886,0.895009,0.953600,0,0,0,9152,00:40
14,0.091588,0.186373,0.896743,0.954240,0,0,0,9152,00:40
15,0.092590,0.182351,0.899448,0.954240,0,0,0,9152,00:40
16,0.093198,0.177614,0.901676,0.954080,0,0,0,9152,00:40
17,0.089732,0.183788,0.902438,0.954240,0,0,0,9152,00:40
